Gene	Gene_Name	Molecule	Start	End	strand	probe_start	probe_end	1451_growth_t1_avg	1451_growth_t2_avg	1451_growth_t3_avg	1451_growth_t4_avg	ura3_growth_t1_avg	ura3_growth_t2_avg	ura3_growth_t3_avg	ura3_growth_t4_avg
VNG0068H		chr	65671	65829	+	65781	65712	0.113333333	0.121666667	0.082666667	0.3085	0.177	0.108666667	0.193666667	0.1675
VNG0069H		chr	66054	66248	+	66225	66156	-0.019333333	-0.021	0.075666667	0.1215	-0.021	-0.030666667	-0.024333333	0.074
VNG0070H		chr	66241	66531	+	66454	66385	-0.017666667	0.059	0.073	0.119	0.0025	0.008666667	0.014666667	0.129
VNG0072H		chr	67491	67060	-	67252	67321	0.259666667	-0.154666667	0.058666667	0.2225	0.0735	0.061333333	0.105333333	0.2195
VNG0073C		chr	67908	68201	+	68078	68009	0.181666667	0.203333333	0.139	0.4625	0.22	0.204	0.391	0.37
VNG0075H		chr	68290	68511	+	68420	68351	0.059666667	-0.099	0.018333333	0.2525	0.0755	0.062	0.177	0.0995
VNG0076H		chr	69419	69303	-	69308	69377	0.162	0.147666667	0.101666667	0.4355	0.254	0.210333333	0.399	0.3385
VNG0077H		chr	69967	70746	+	70684	70615	-0.040333333	0.002666667	-0.039333333	-0.11	-0.0195	0.010333333	-0.025	-0.025
VNG0079H		chr	71342	71130	-	71226	71295	0.142666667	0.162	0.111333333	0.3895	0.064	0.196333333	0.300333333	0.281
VNG0080H		chr	71317	71745	+	71461	71392	0.087333333	0.052	0.005666667	0.1455	0.0715	0.065666667	0.131666667	0.2415
VNG0081G	moaE	chr	71811	72701	+	71933	71864	0.16	0.176333333	0.118	0.4385	0.1655	0.204666667	0.340333333	0.3425
VNG0084G	moeB	chr	73544	72711	-	72733	72802	0.105666667	-0.010333333	0.097666667	0.3435	0.1715	0.095	0.216	0.332
VNG0085G	moaA	chr	73639	74739	+	74537	74468	-0.013666667	0.030666667	-0.020666667	0.092	-0.0185	0.084666667	0.088666667	0.103
VNG0086G	moeA2	chr	76467	74755	-	75671	75740	0.069333333	-0.040666667	0.107333333	0.2755	0.102	0.062666667	0.243333333	0.284
VNG0089G	pimT1	chr	78660	77926	-	78503	78572	-0.012	0.068	0.008666667	0.1075	0.0695	0.046	0.115333333	0.154
VNG0090G	moeA1	chr	77867	76647	-	76651	76720	0.051666667	0.107	0.076333333	0.215	0.1435	0.047666667	0.027666667	0.1495
VNG0091C		chr	79597	78686	-	79367	79436	0.270333333	0.088	0.094666667	0.2335	0.223	0.083	0.153666667	0.1475
VNG0094C		chr	80327	79665	-	80216	80285	-0.069	-0.018	-0.075333333	-0.0745	-0.0305	-0.042	-0.061333333	-0.052
VNG0095G	gapB	chr	81452	82456	+	82117	82048	-0.012333333	-0.029666667	-0.105666667	-0.18	-0.0655	0.022	-0.050333333	-0.039
VNG0096C		chr	81328	80390	-	80762	80831	-0.037333333	-0.122666667	-0.051333333	-0.077	-0.058	-0.024333333	-0.047666667	0.0155
VNG0097G	hsp2	chr	82540	82923	+	82655	82586	-0.028	0.067666667	0.025666667	0.082	-0.008	-0.015666667	-0.047666667	0.0675
VNG0098G	rimK	chr	83789	82935	-	83275	83344	-0.041333333	-0.034333333	-0.060333333	-0.0215	0.007	0.033	0.054666667	-0.011
VNG0099G	rpl10e	chr	84415	83888	-	84199	84268	-0.064	-0.001	-0.083333333	-0.265	-0.072	0.013666667	-0.112	-0.291
VNG0101G	cspD1	chr	84841	84620	-	84709	84778	0.088	0.065	-0.042	-0.074	0.0635	0.073666667	-0.12	-0.217
VNG0102C		chr	85583	84930	-	85175	85244	-0.055333333	0.02	-0.015666667	0.033	0.046	-0.03	0.013666667	0.0985
VNG0104G	serA3	chr	86611	85643	-	85737	85806	0.122333333	0.017333333	0.196333333	0.366	0.183	0.132	0.259333333	0.273
VNG0105H		chr	87219	86737	-	86939	87008	0.236333333	0.154666667	0.221333333	0.47	0.2125	0.206	0.398	0.3965
VNG0106G	rmeM	chr	87668	89164	+	89111	89042	0.078666667	-0.073	0.004333333	-0.007	-0.014	-0.004	-0.055	-0.0705
VNG0107G	rmeS	chr	89160	90584	+	89614	89545	-0.033333333	0.037	-0.020333333	0.0135	-0.0225	0.001	0.082	-0.046
VNG0108G	rmeR	chr	90639	93638	+	91635	91566	0.039333333	-0.026	0.053333333	0.2	0.049	0.061	0.125333333	0.1615
VNG0110C		chr	93634	94356	+	93819	93750	-0.039666667	0.084	-0.015666667	0.125	0.0315	0.067333333	0.231	0.2
VNG0112H		chr	96543	96013	-	96277	96346	0.036	-0.035333333	0.066	0.1205	0.057	0.110666667	0.206	0.1095
VNG0113H		chr	97444	98118	+	97740	97671	0.114666667	0.114	0.182	0.4595	0.1675	0.189666667	0.329	0.3415
VNG0115G	yusZ1	chr	98226	99005	+	98613	98544	-0.000666667	0.053333333	0.030666667	0.1105	0.038	0.013	0.045333333	0.118
VNG0116H		chr	101715	100894	-	101033	101102	0.170333333	0.130666667	0.154666667	0.444	0.242	0.165	0.279333333	0.2275
VNG0117H		chr	102309	102037	-	102184	102253	0.267333333	0.113	0.264666667	0.5045	0.382	0.232	0.315	0.2825
VNG0118H		chr	102692	102312	-	102371	102440	0.196333333	0.146	0.204333333	0.464	0.267	0.235	0.315	0.351
VNG0119H		chr	103021	102866	-	102900	102969	0.046	-0.045	0.051333333	0.175	0.1245	0.077333333	0.18	0.1445
VNG0120H		chr	103146	103024	-	103025	103094	0.040333333	0.042333333	-0.006666667	0.1305	0.1625	0.092666667	0.157666667	0.025
VNG0121H		chr	103514	104002	+	103986	103917	0.273666667	-0.139333333	0.176666667	0.458	0.2325	0.150666667	0.211333333	0.362
VNG0123G	trp1	chr	104073	105998	+	104464	104395	-0.081	-0.049666667	-0.09	0.01	0.0875	-0.033	0.002	-0.0835
VNG0124C		chr	106009	106788	+	106325	106256	0.032333333	-0.051333333	-0.006	-0.014	0.0095	-0.019666667	-0.033333333	-0.0645
VNG0125H		chr	107189	106806	-	106980	107049	0.078	0.067333333	0.038666667	0.0975	0.014	-0.025	0.006666667	0.0855
VNG0127C		chr	107562	107236	-	107411	107480	0.233	-0.126666667	0.086	0.0585	0.1295	0.021666667	0.04	0.044
VNG0128C		chr	107649	108425	+	108305	108236	0.034666667	0.012666667	0.022	0.0105	0.125	0.056	0.044333333	-0.005
VNG0129G	hsp5	chr	108694	109560	+	108981	108912	-0.024666667	0.006333333	0.035	0.0725	-0.02	-0.04	-0.045	0.063
VNG0130H		chr	109649	109828	+	109809	109740	0.022333333	0.054	0.006666667	0.0485	-0.041	-0.003	0.005333333	0.0605
VNG0132C		chr	110448	109837	-	109882	109951	0.111	-0.188666667	0.08	0.267	0.157	0.113333333	0.007	0.24
VNG0133G	rpa	chr	110769	112190	+	111391	111322	-0.139333333	-0.041333333	-0.086	-0.2155	-0.1025	0.028	-0.054333333	-0.292
VNG0134G	hpyA	chr	112247	112696	+	112470	112401	-0.019333333	-0.178	-0.001333333	-0.064	0.041	0.026666667	-0.040333333	-0.109
VNG0136G	aup	chr	112696	113709	+	113286	113217	-0.043	0.053	0.023666667	-0.0295	0.0065	0.023333333	0.075666667	-0.01
VNG0137G	cca	chr	115049	113694	-	114512	114581	0.076	-0.159666667	0.076333333	0.2305	0.1215	0.122666667	0.030333333	0.218
VNG0138H		chr	115898	116146	+	116138	116069	0.321666667	0.318333333	0.302666667	0.5535	0.409	0.302	0.374333333	0.356
VNG0139H		chr	116234	116755	+	116650	116581	0.117	-0.222	0.087333333	0.3815	0.1455	0.180333333	0.307333333	0.261
VNG0140H		chr	116881	117090	+	117032	116963	0.180666667	0.205333333	0.139666667	0.56	0.29	0.216333333	0.402	0.331
VNG0141H		chr	117579	117316	-	117410	117479	-0.054	0.032	0.098	0.2145	0.098	-0.006	0.097333333	0.2425
VNG0142C		chr	118271	117870	-	117879	117948	-0.081666667	0.017	0.003	0.042	-0.0015	-0.005666667	0.064	0.063
VNG0143H		chr	118700	118290	-	118290	118359	0.241333333	0.183	0.271666667	0.602	0.255	0.195666667	0.466	0.369
VNG0144H		chr	118615	119049	+	118954	118885	0.003	0.050666667	0.05	0.008	-0.0575	0.062	0.069333333	-0.0335
VNG0146H		chr	119518	119751	+	119637	119568	-0.004	-0.054333333	-0.036666667	0.048	-0.0355	0.046333333	0.046666667	0.0735
VNG0147C		chr	120226	119762	-	119767	119836	0.052333333	0.082333333	0.006666667	0.008	0.091	0.088	0.038666667	-0.068
VNG0148H		chr	120364	120257	-	120292	120361	0.228333333	-0.086666667	0.252333333	0.6185	0.323	0.235666667	0.433333333	0.4535
VNG0149G	zntA	chr	120602	122872	+	121295	121226	0.324	0.241	0.216333333	0.428	0.2855	0.242333333	0.366666667	0.3005
VNG0150H		chr	123561	122893	-	123436	123505	0.262666667	-0.090666667	-0.016666667	0.2255	0.2115	0.112333333	-0.086333333	0.1875
VNG0151C		chr	123839	123561	-	123731	123800	-0.005666667	0.059666667	0.027666667	0.009	0.051	0.069333333	0.045333333	-0.054
VNG0152G	prrC	chr	124756	124091	-	124475	124544	0.018	0.014333333	-0.058	-0.163	-0.051	-0.008333333	-0.050333333	-0.155
VNG0153C		chr	126100	125015	-	125377	125446	-0.014666667	0.066	0.018333333	-0.054	-0.117	-0.031333333	-0.069	-0.0505
VNG0154G	merA	chr	127576	126182	-	127382	127451	0.361	-0.076666667	0.151666667	0.428	0.2125	0.149666667	0.162333333	0.2855
VNG0156C		chr	127692	128387	+	128103	128034	-0.003	0.056666667	0.090333333	0.264	0.0785	0.095666667	0.168	0.259
VNG0157G	oxlT	chr	128484	129713	+	129185	129116	0.292333333	0.121666667	0.209	0.3965	0.228	0.236	0.312666667	0.2915
VNG0158G	kdgK	chr	130693	129740	-	130131	130200	0.121333333	0.019333333	0.028333333	0.081	0.0255	0.080333333	0.073	0.0115
VNG0159G	mutL	chr	132696	130720	-	132200	132269	0.155333333	-0.172333333	0.148	0.444	0.162	0.150333333	0.104333333	0.3125
VNG0160G	boa1	chr	132683	135274	+	132833	132764	0.096333333	0.138666667	0.089333333	0.325	0.099	0.144333333	0.303666667	0.2365
VNG0161G	gdhB	chr	135504	136790	+	135763	135694	-0.042666667	0.155666667	0.112666667	0.0125	-0.129	-0.045	-0.107	-0.011
VNG0162G	alkK	chr	136676	138475	+	136857	136788	-0.086666667	0.096333333	0.097666667	-0.046	-0.146	-0.034	-0.112666667	-0.0185
VNG0163G	mutS1	chr	141109	138497	-	140940	141009	0.088	-0.01	0.070333333	0.0625	0.0655	0.066666667	-0.034666667	0.0575
VNG0164G	hef	chr	142200	141184	-	141895	141964	0.112	0.123	0.084666667	0.305	0.121	0.166	0.265666667	0.2075
VNG0166G	psmA2	chr	142335	143093	+	142479	142410	-0.100666667	-0.063666667	-0.079333333	-0.1315	-0.0605	-0.021666667	-0.146333333	-0.117
VNG0167H		chr	143339	143494	+	143453	143384	0.058333333	0.151	0.198	0.3535	0.2025	0.188	0.327	0.368
VNG0168H		chr	144202	143501	-	143826	143895	-0.042	-0.109	0.051333333	0.1985	0.054	0.040333333	0.075	0.2155
VNG0170C		chr	144719	144357	-	144607	144676	0.209	0.103666667	0.170333333	0.4175	0.195	0.179666667	0.299	0.358
VNG0171C		chr	145185	145904	+	145628	145559	0.263	-0.031666667	0.271	0.602	0.211	0.200333333	0.394	0.479
VNG0172G	mutS2	chr	148470	145882	-	147642	147711	0.350333333	0.135	0.042666667	0.3005	0.1615	0.193333333	0.255666667	0.1055
VNG0174G	cat1	chr	148838	151165	+	151159	151090	-0.089333333	-0.010666667	-0.035666667	0.0065	0.006	0.053666667	0.018666667	0.0085
VNG0175G	trkA1	chr	151174	151857	+	151847	151778	-0.016	-0.000666667	-0.011666667	0.0015	0.012	0.059666667	0.102	0.027
VNG0176H		chr	152615	151878	-	152279	152348	0.092666667	0.070333333	0.098333333	0.374	0.1795	0.101333333	0.187	0.4185
VNG0177G	rpl15e	chr	153357	152770	-	152958	153027	-0.012	-0.012	-0.134666667	-0.3655	0.021	0.005666667	-0.124666667	-0.474
VNG0178H		chr	154470	153493	-	153644	153713	0.277	-0.138666667	0.178	0.1825	0.134	0.117	0.192333333	0.1555
VNG0179C		chr	155596	154697	-	155139	155208	0.026333333	0.082333333	-0.006666667	0.0255	0.0565	0.019666667	0.03	0.0115
VNG0180G	hop	chr	156505	155684	-	156304	156373	0.061666667	0.027	0.08	0.157	0.126	0.019666667	0.113333333	0.1465
VNG0181G	lpl	chr	156613	157428	+	157110	157041	0.239333333	0.113666667	0.086333333	0.2435	0.135	0.169666667	0.177666667	0.2115
VNG0183G	xthA	chr	157481	158305	+	158150	158081	0.078	-0.026	0.050666667	-0.027	-0.07	-0.026	-0.052333333	-0.0565
VNG0184H		chr	158525	159289	+	159263	159194	0.028	0.036	-0.057	0.039	0.1015	0.085333333	0.105	0.0085
VNG0186G	pepB1	chr	159342	160430	+	159892	159823	0.06	0.047333333	0.109	0.0875	0.0975	0.04	0.077666667	0.0525
VNG0187H		chr	161201	160467	-	161083	161152	0.332666667	0.078	0.020333333	0.2075	0.164	0.134	0.122666667	0.088
VNG0188H		chr	161207	162583	+	162052	161983	0.219333333	-0.140333333	0.195	0.573	0.277	0.230666667	0.173333333	0.3605
VNG0189C		chr	162656	164092	+	163473	163404	0.148666667	0.161333333	0.142	0.416	0.1815	0.195	0.391	0.3405
VNG0190C		chr	164151	165110	+	164881	164812	0.004	-0.321333333	-0.003666667	0.0435	-0.0225	0.075666667	0.097333333	0.102
VNG0192G	ftsZ2	chr	166279	165155	-	165482	165551	-0.191333333	0.015	-0.027666667	-0.135	-0.193	-0.078333333	-0.115333333	-0.0965
VNG0194H		chr	166503	166339	-	166345	166414	-0.205	-0.006	-0.027333333	-0.107	-0.2345	-0.158666667	-0.110333333	-0.153
VNG0195H		chr	167121	166684	-	166993	167062	-0.103	0.025333333	0.008666667	-0.016	-0.0365	0.017333333	-0.007333333	0.0025
VNG0196H		chr	168054	167797	-	167801	167870	0.263666667	-0.27	0.157666667	0.4005	0.1595	0.193	0.321333333	0.3515
VNG0197C		chr	169212	168187	-	168419	168488	-0.043	0.042333333	0.003	-0.0805	-0.0345	0.094333333	0.058666667	-0.0735
VNG0198H		chr	170389	169724	-	169906	169975	0.28	-0.045666667	0.244	0.582	0.2405	0.207666667	0.371666667	0.3755
VNG0199H		chr	170754	170389	-	170472	170541	0.21	0.190666667	0.270666667	0.495	0.307	0.213333333	0.396333333	0.344
VNG0200C		chr	171424	170750	-	171049	171118	0.207666667	-0.072333333	0.305666667	0.6065	0.281	0.208333333	0.393	0.367
VNG0203C		chr	173506	172646	-	172962	173031	0.465333333	0.262333333	0.230333333	0.5865	0.258	0.242333333	0.463	0.4235
VNG0204H		chr	172646	171927	-	171934	172003	0.175666667	-0.167666667	0.3	0.503	0.162	0.170333333	0.336	0.422
VNG0205H		chr	173824	173540	-	173699	173768	0.189666667	0.205333333	0.150333333	0.472	0.4325	0.195666667	0.217666667	0.16
VNG0207H		chr	175115	175468	+	175412	175343	-0.303666667	-0.03	-0.081333333	-0.169	-0.2855	-0.146333333	-0.157666667	-0.0305
VNG0208H		chr	175471	175917	+	175764	175695	-0.279	-0.034666667	-0.052666667	-0.1215	-0.2855	-0.138	-0.175666667	-0.0235
VNG0209H		chr	175913	176944	+	176390	176321	-0.325333333	-0.085666667	-0.080333333	-0.121	-0.3375	-0.179	-0.191666667	-0.0425
VNG0212H		chr	177587	178351	+	177705	177636	-0.086333333	0.038333333	0.045666667	0.0405	0.0175	-0.038666667	0.035333333	-0.021
VNG0213H		chr	178317	179318	+	179210	179141	-0.016	-0.142333333	-0.039333333	-0.0805	-0.0065	0.049333333	0.08	-0.0655
VNG0214C		chr	180366	179710	-	180082	180151	0.306	0.099333333	0.049333333	0.194	0.279	0.123666667	0.180333333	0.042
VNG0215C		chr	183489	180919	-	183030	183099	0.379666667	-0.154666667	0.271333333	0.565	0.2185	0.198	0.328333333	0.3335
VNG0216H		chr	183858	183652	-	183669	183738	0.195666667	0.203666667	0.159333333	0.501	0.3145	0.235	0.376333333	0.345
VNG0217H		chr	184345	184962	+	184510	184441	0.120333333	-0.043	0.041	0.2075	0.111	0.143	0.156333333	0.138
VNG0218G	gspE1	chr	186631	184988	-	185055	185124	0.494333333	0.220666667	0.258	0.4995	0.232	0.216	0.343666667	0.376
VNG0219H		chr	187174	187728	+	187340	187271	-0.165	-0.204	-0.093333333	-0.006	-0.1295	-0.076666667	0.042333333	-0.04
VNG0220H		chr	187731	188300	+	188218	188149	-0.121	-0.046666667	-0.024333333	0.112	-0.001	0.009	0.166333333	0.058
VNG0222C		chr	188303	189562	+	189327	189258	-0.124333333	-0.195666667	-0.058666667	0.107	-0.0125	-0.049	0.115666667	0.0095
VNG0223G	moxR	chr	191009	190056	-	190783	190852	0	0.074333333	0.066333333	0.24	0.1175	0.115333333	0.199333333	0.2195
VNG0226G	htrA	chr	191310	192377	+	191542	191473	-0.043333333	-0.051	0.100333333	0.2375	0.1145	-0.012666667	0.088333333	0.2565
VNG0227H		chr	192635	192375	-	192437	192506	-0.145333333	-0.003	0.001	-0.002	-0.099	-0.088	-0.071333333	-0.143
VNG0228G	guaAa	chr	192826	193374	+	193065	192996	0.060333333	-0.128666667	0.063	0.052	0.076	0.077333333	0.013	0.057
VNG0230C		chr	193384	195255	+	194005	193936	0.047	0.105666667	0.07	0.2255	0.0305	0.091666667	0.111	0.1845
VNG0231C		chr	195274	195981	+	195710	195641	0.092333333	-0.103333333	0.087333333	0.28	0.0805	0.096	0.17	0.2115
VNG0233H		chr	196281	196045	-	196148	196217	-0.068333333	-0.004333333	-0.074	-0.1535	0.0085	-0.009333333	-0.128	-0.235
VNG0234C		chr	196665	196291	-	196536	196605	-0.096666667	-0.043333333	-0.117666667	-0.1955	-0.048	-0.043666667	-0.156	-0.276
VNG0237H		chr	197186	197055	-	197059	197128	-0.007333333	0.022333333	-0.070666667	-0.2265	0.0425	0.024	-0.092666667	-0.2565
VNG0238H		chr	197630	197845	+	197810	197741	0.02	-0.118	0.081666667	0.1065	0.001	0.064333333	0.106333333	0.1545
VNG0239C		chr	197512	197198	-	197262	197331	-0.065333333	0.003333333	-0.092333333	-0.2285	-0.0165	-0.012	-0.106333333	-0.2195
VNG0240C		chr	198598	197879	-	198083	198152	0.100333333	0.002666667	0.122333333	0.241	0.115	0.15	0.145666667	0.1885
VNG0243C		chr	200378	198654	-	200240	200309	0.336333333	0.248	0.185666667	0.406	0.269	0.183666667	0.177333333	0.0835
VNG0244H		chr	200377	200988	+	200746	200677	0.108666667	0.121	0.157333333	0.29	0.193	0.097333333	0.161666667	0.196
VNG0245G	dtd	chr	201025	201609	+	201199	201130	0.122333333	0.053	0.018666667	0.141	0.09	0.040333333	0.081	0.0285
VNG0247C		chr	201609	202514	+	202081	202012	0.219333333	0.178	0.100666667	0.3785	0.2335	0.178333333	0.299666667	0.28
VNG0248C		chr	203273	202512	-	202848	202917	0.248666667	0.232666667	-0.029333333	-0.282	-0.0805	0.026333333	-0.098666667	-0.2565
VNG0249G	fbr	chr	205708	203279	-	204336	204405	-0.045	0.150333333	-0.139666667	-0.4515	-0.239	-0.14	-0.336333333	-0.564
VNG0250C		chr	206539	205793	-	205875	205944	0.149666667	0.102	0.054333333	0.0895	0.066	0.084333333	0.121	0.1
VNG0251C		chr	207418	206582	-	207018	207087	0.000333333	0.061666667	-0.003	0.133	0.086	0.021666667	0.065333333	0.0215
VNG0252C		chr	208232	207477	-	208120	208189	0.115666667	-0.005666667	-0.060666667	-0.0375	-0.0135	0.002333333	-0.009	-0.048
VNG0254G	tfbG	chr	209257	208289	-	209114	209183	-0.168	-0.021	-0.012	0.065	-0.1365	-0.131333333	-0.088666667	-0.0085
VNG0255C		chr	209439	210035	+	209977	209908	-0.024	0.079	-0.014333333	-0.0605	-0.022	0.098666667	0.053333333	-0.0585
